id,lon_start,lat_start,lon_end,lat_end,frequency
2154,10.865495,52.412266,10.866078,52.41252,0.273548
2155,10.866078,52.41252,10.86702,52.412531,0.100353
2156,10.848657,52.412044,10.847886,52.410975,0.966471
2157,10.847886,52.410975,10.847389,52.410747,0.953509
2158,10.847389,52.410747,10.846342,52.410944,1.103327
2159,10.846342,52.410944,10.846543,52.411413,1.16465
2160,10.835954,52.418202,10.835956,52.418464,1.095217
2161,10.835956,52.418464,10.834735,52.418486,0.903331
2162,10.834735,52.418486,10.833514,52.418508,1.108639
2163,10.819538,52.424695,10.819493,52.425807,0.881005
2164,10.819493,52.425807,10.820161,52.425962,0.852234
2165,10.820161,52.425962,10.820324,52.426174,0.851182
2166,10.820324,52.426174,10.82003,52.426342,0.595539
2167,10.82003,52.426342,10.818558,52.426443,0.595703
2168,10.818558,52.426443,10.817086,52.426543,0.695791
2169,10.766859,52.410627,10.767777,52.410428,0.483761
2170,10.768475,52.408167,10.767948,52.408423,1.023605
2171,10.767948,52.408423,10.767698,52.409287,0.964822
2172,10.767698,52.409287,10.767448,52.410151,0.955967
2173,10.767448,52.410151,10.767171,52.410245,1.001227
2174,10.764766,52.410792,10.76546,52.41084,1.083506
2175,10.76546,52.41084,10.766859,52.410627,0.90952
2176,10.766859,52.410627,10.767171,52.410245,0.872091
2177,10.767171,52.410245,10.766566,52.410216,0.862703
2178,10.766566,52.410216,10.765529,52.409782,0.934695
2179,10.790818,52.413502,10.792022,52.413404,1.036253
2180,10.866494,52.415807,10.866432,52.416685,0.692468
2181,10.866432,52.416685,10.866369,52.417563,0.671611
2182,10.866369,52.417563,10.866185,52.417704,0.80694
2183,10.864969,52.415604,10.866362,52.415643,1.027646
2184,10.866362,52.415643,10.866494,52.415807,1.261443
2185,10.866494,52.415807,10.868095,52.41599,1.180287
2186,10.868095,52.41599,10.868532,52.415857,1.169616
2187,10.863363,52.415505,10.86343,52.415275,0.845267
2188,10.86343,52.415275,10.862829,52.414519,0.807293
2189,10.862247,52.416384,10.863363,52.415505,1.062293
2190,10.863363,52.415505,10.864969,52.415604,1.178397
2191,10.774171,52.407301,10.773873,52.40713,0.857983
2192,10.773873,52.40713,10.771998,52.407048,0.783698
2193,10.77228,52.408093,10.772351,52.408438,0.89019
2194,10.772351,52.408438,10.772008,52.409124,0.869276
2195,10.772008,52.409124,10.770307,52.408987,0.745703
2196,10.77228,52.408093,10.773746,52.408144,1.141069
2197,10.771068,52.408083,10.77228,52.408093,1.03254
2198,10.77228,52.408093,10.771831,52.407042,0.675932
2199,10.771831,52.407042,10.770536,52.407018,0.827915
2200,10.838417,52.417089,10.838977,52.417287,0.750757
2201,10.838977,52.417287,10.839762,52.417336,0.698362
2202,10.839762,52.417336,10.841447,52.417154,0.700428
2203,10.841447,52.417154,10.843131,52.416972,0.815617
2204,10.824442,52.420445,10.82541,52.420613,0.783114
2205,10.843625,52.425343,10.843362,52.425511,0.889431
